epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,2614.18,1.01193,0.72861,1.36813,0.93303,0.87022,0.92682,0.56583,1.32883,0.64647,1.54637,0.000233081,0.000233081,0.000233081
107,2638.67,1.02525,0.74369,1.37635,0.93137,0.86435,0.92901,0.57633,1.29044,0.66263,1.50479,0.000229208,0.000229208,0.000229208
108,2662.77,1.00639,0.72859,1.35851,0.93817,0.85912,0.93372,0.57785,1.30005,0.64921,1.50761,0.000225341,0.000225341,0.000225341
109,2688.16,1.00458,0.72057,1.3556,0.9237,0.86622,0.92783,0.56592,1.32203,0.65728,1.53523,0.00022148,0.00022148,0.00022148
110,2712.61,1.02613,0.74867,1.36891,0.93356,0.86719,0.92934,0.57637,1.29072,0.65035,1.49858,0.000217627,0.000217627,0.000217627
111,2737.21,0.99317,0.71092,1.33893,0.94358,0.85781,0.9301,0.5773,1.3069,0.64886,1.5096,0.000213782,0.000213782,0.000213782
112,2761.42,0.99276,0.71472,1.3557,0.92938,0.86328,0.9297,0.57093,1.29645,0.65379,1.52652,0.000209948,0.000209948,0.000209948
113,2786.04,1.01169,0.7305,1.3572,0.92665,0.8732,0.9306,0.57247,1.31684,0.66062,1.54954,0.000206123,0.000206123,0.000206123
114,2810.59,0.99822,0.71764,1.34306,0.93381,0.85339,0.93108,0.561,1.34905,0.65973,1.5623,0.00020231,0.00020231,0.00020231
115,2836.53,0.98369,0.70627,1.3415,0.94024,0.8697,0.93599,0.57742,1.29299,0.63462,1.52351,0.00019851,0.00019851,0.00019851
116,2860.35,0.98654,0.70478,1.33948,0.93729,0.88299,0.93635,0.5812,1.30577,0.63844,1.53932,0.000194722,0.000194722,0.000194722
117,2884.72,1.00709,0.71742,1.35088,0.94062,0.86623,0.9329,0.5812,1.31351,0.62379,1.52638,0.000190949,0.000190949,0.000190949
118,2911.13,1.00237,0.7104,1.35239,0.91501,0.88323,0.93055,0.56485,1.36438,0.62766,1.57001,0.000187191,0.000187191,0.000187191
119,2935.97,0.97899,0.70464,1.3416,0.92251,0.87602,0.93578,0.57467,1.32581,0.6447,1.54413,0.00018345,0.00018345,0.00018345
120,2960.82,0.99024,0.71346,1.34472,0.94477,0.8666,0.93688,0.57994,1.33261,0.64075,1.54961,0.000179725,0.000179725,0.000179725
121,2986.63,0.96434,0.6849,1.32801,0.94076,0.86064,0.93078,0.57396,1.30783,0.64477,1.52762,0.000176018,0.000176018,0.000176018
122,3011.41,0.96799,0.70739,1.33088,0.94893,0.86179,0.93415,0.57798,1.29066,0.63568,1.51573,0.00017233,0.00017233,0.00017233
123,3036.12,0.98379,0.70618,1.34449,0.92815,0.88054,0.93583,0.57527,1.30671,0.62435,1.53053,0.000168662,0.000168662,0.000168662
124,3061.02,0.95828,0.67171,1.3221,0.93373,0.88722,0.9413,0.58173,1.30012,0.62735,1.51979,0.000165015,0.000165015,0.000165015
125,3084.89,0.95297,0.68545,1.33069,0.94115,0.87887,0.9397,0.58677,1.28306,0.62619,1.50842,0.000161389,0.000161389,0.000161389
126,3108.94,0.98297,0.69464,1.33511,0.94255,0.87412,0.93459,0.57738,1.29791,0.63307,1.53495,0.000157786,0.000157786,0.000157786
127,3134.48,0.96131,0.69439,1.33396,0.93864,0.87409,0.9357,0.57292,1.32271,0.62085,1.56774,0.000154206,0.000154206,0.000154206
128,3159.31,0.97498,0.69335,1.33473,0.96621,0.86132,0.94139,0.58294,1.29454,0.622,1.53776,0.00015065,0.00015065,0.00015065
129,3183.82,0.95336,0.69007,1.31801,0.96355,0.85398,0.93682,0.58398,1.31236,0.63266,1.55273,0.00014712,0.00014712,0.00014712
130,3208.53,0.95615,0.69464,1.32012,0.94788,0.86761,0.93787,0.57826,1.32033,0.62643,1.56393,0.000143615,0.000143615,0.000143615
131,3233.06,0.95119,0.66683,1.32598,0.94577,0.85999,0.93554,0.56967,1.31596,0.64157,1.54747,0.000140137,0.000140137,0.000140137
132,3258.13,0.96501,0.68175,1.32354,0.93965,0.85999,0.92956,0.56885,1.33665,0.65016,1.56589,0.000136687,0.000136687,0.000136687
133,3283.02,0.95236,0.66724,1.31409,0.94801,0.88297,0.941,0.58227,1.2934,0.63105,1.52824,0.000133266,0.000133266,0.000133266
134,3307.6,0.94286,0.68903,1.31965,0.95717,0.86308,0.93961,0.57805,1.3146,0.6434,1.55294,0.000129874,0.000129874,0.000129874
135,3332.21,0.94467,0.6781,1.31673,0.94115,0.88316,0.94234,0.5871,1.26245,0.62083,1.51113,0.000126512,0.000126512,0.000126512
136,3356.8,0.94523,0.67893,1.31754,0.95182,0.8677,0.94285,0.58177,1.27596,0.6237,1.51486,0.000123182,0.000123182,0.000123182
137,3381.2,0.93853,0.67519,1.3104,0.93869,0.89353,0.94298,0.58946,1.27522,0.61956,1.52073,0.000119883,0.000119883,0.000119883
138,3406.99,0.95739,0.69746,1.33058,0.93832,0.87273,0.94242,0.58727,1.29472,0.62412,1.53937,0.000116617,0.000116617,0.000116617
